url,label
https://google.com,safe
https://github.com,safe
https://microsoft.com,safe
https://amazon.com,safe
https://apple.com,safe
https://openai.com,safe
https://stackoverflow.com,safe
https://linkedin.com,safe
https://facebook.com,safe
https://youtube.com,safe
http://paypal-login-update.xyz,phishing
http://secure-bank-login.xyz,phishing
http://verify-account-free.xyz,phishing
http://192.168.1.1/login,phishing
http://free-money-offer.xyz,phishing
http://banking-secure-login.xyz,phishing
http://gift-card-free.xyz,phishing
http://update-your-password.xyz,phishing
http://crypto-free-bonus.xyz,phishing
http://netflix-login-verify.xyz,phishing
